step,loss,embedding_grad_l1_norm,embedding_grad_l2_norm,output_proj_grad_l1_norm,output_proj_grad_l2_norm,embedding_grad_mean,output_proj_grad_mean,embedding_grad_abs_mean,output_proj_grad_abs_mean
1,0.0,819.7916870117188,0.43038684129714966,569.1307373046875,0.6176128387451172,1.557087792036782e-14,5.64524386167508e-14,4.886339229415171e-05,5.5243294809770305e-06
2,0.0,1051.8519287109375,0.5911892056465149,585.8152465820312,1.6798605918884277,-1.6930901125533637e-14,1.706706675400245e-14,6.269526056712493e-05,5.686279564542929e-06
3,0.0,594.455810546875,0.34364601969718933,628.3180541992188,1.0840730667114258,-7.174816296640074e-15,4.0865531444889136e-14,3.543232742231339e-05,6.098837729950901e-06
4,0.0,484.5522766113281,0.29008960723876953,687.1527099609375,1.4344512224197388,3.0184188481996443e-15,5.530845624697987e-15,2.8881566322525032e-05,6.6699226408672985e-06
5,0.0,292.85369873046875,0.1877475380897522,672.0618896484375,0.8558754920959473,-2.1267709815475655e-15,-9.497068082853829e-15,1.7455440683988854e-05,6.523441697936505e-06
6,0.0,244.59811401367188,0.1546710580587387,653.03076171875,0.7409383058547974,-1.6393136847980827e-15,1.0476670664902668e-13,1.4579183698515408e-05,6.338714229059406e-06
7,0.0,239.59063720703125,0.14995233714580536,699.6688842773438,1.437780737876892,-2.789435349370706e-15,-2.2843897522846664e-14,1.4280714822234586e-05,6.7914120336354245e-06
8,0.0,284.68170166015625,0.20011161267757416,679.5496215820312,2.209216594696045,-7.719519468096792e-16,-3.6364605039218914e-14,1.6968351701507345e-05,6.596122148039285e-06
9,0.0,93.37098693847656,0.05670146644115448,674.9061889648438,0.7790296077728271,4.3368086899420177e-16,4.699488546791933e-14,5.565344508795533e-06,6.551050319103524e-06
10,0.0,70.74225616455078,0.05063530057668686,660.468017578125,0.7667123675346375,-1.1642162928149347e-15,-8.837749495172343e-15,4.216567049297737e-06,6.410904916265281e-06
11,0.0,187.42022705078125,0.11309922486543655,668.0093994140625,3.4224853515625,5.984795992119984e-16,1.446679969625852e-15,1.1171116057084873e-05,6.484106052084826e-06
12,0.0,207.70172119140625,0.17555689811706543,676.7760620117188,2.186598777770996,-3.226585665316861e-15,-3.426874398398255e-14,1.2379987310850993e-05,6.5692006501194555e-06
13,0.0,61.210487365722656,0.037260666489601135,621.204345703125,1.0129363536834717,1.278924882663901e-15,1.225622285139314e-14,3.6484293559624348e-06,6.029787527950248e-06
14,0.0,77.30159759521484,0.05520550161600113,640.0634765625,0.9991711378097534,-1.577731001400906e-15,1.2588304151243263e-13,4.607534265232971e-06,6.212845619302243e-06
15,0.0,39.814552307128906,0.01657371036708355,621.4530639648438,0.6671375632286072,2.205267218835516e-16,-2.3968352395051587e-14,2.3731322471576277e-06,6.032201781636104e-06
16,0.0,97.69343566894531,0.0937485620379448,657.1202392578125,0.7500017285346985,5.0306980803327406e-17,2.280586743758084e-13,5.822982529934961e-06,6.378409125318285e-06
17,0.0,151.88746643066406,0.1300152838230133,735.8843994140625,1.647478461265564,1.2628786905111156e-15,3.5345814816678534e-13,9.0531984824338e-06,7.142942195059732e-06
18,0.0,36.08940124511719,0.016107814386487007,589.4415283203125,0.6865072846412659,2.6042536183101817e-16,-7.655655216752891e-14,2.15109594137175e-06,5.721478373743594e-06
19,0.0,115.80235290527344,0.097771555185318,621.3572998046875,0.892591118812561,5.0636578263763e-15,-4.717956914360687e-14,6.902358109073248e-06,6.031272278050892e-06
20,0.0,36.77613830566406,0.041912127286195755,573.2267456054688,0.5789929032325745,7.528699885739343e-16,-1.247634299746201e-14,2.1920286599197425e-06,5.564087587117683e-06
21,0.0,38.326725006103516,0.07444951683282852,537.6978149414062,0.4576161205768585,-1.2184264014392099e-15,7.308551279363446e-14,2.284450829392881e-06,5.219222202867968e-06
22,0.0,192.75804138183594,0.273300439119339,580.0826416015625,0.9119402766227722,1.3294053358148261e-14,2.5475169798108363e-14,1.1489274584164377e-05,5.630635314446408e-06
23,0.0,30.393360137939453,0.0158389899879694,548.5877685546875,0.5363808870315552,-1.0408340855860843e-17,-4.337038235870724e-15,1.8115854345523985e-06,5.324926860339474e-06
24,0.0,29.81482696533203,0.03564082458615303,526.6602172851562,0.47301506996154785,2.533780477098624e-16,-7.0598036219630435e-15,1.7771021703083534e-06,5.112084636493819e-06
25,0.0,36.04058837890625,0.15851132571697235,506.70989990234375,0.3238917887210846,5.790723803245079e-16,6.8675418813096e-14,2.1481864678207785e-06,4.918435024592327e-06
26,0.0,33.91775131225586,0.015896547585725784,513.6132202148438,0.4895888864994049,-4.477754972365133e-16,-2.071141584516871e-14,2.0216555185470497e-06,4.985442501492798e-06
27,0.0,55.42277526855469,0.047318968921899796,570.8770751953125,0.5537970066070557,-2.188353664944742e-15,1.0270915519992874e-13,3.303454832348507e-06,5.541280643228674e-06
28,0.0,27.79486083984375,0.010699358768761158,544.0097045898438,0.5275670289993286,8.53267109746092e-17,-1.4581978812909686e-14,1.6567028069403023e-06,5.2804894039581995e-06
29,0.0,31.518434524536133,0.01415183860808611,551.0498046875,1.0851372480392456,-3.338258489082868e-16,-4.416992555674078e-14,1.8786450937113841e-06,5.348824743123259e-06
30,0.0,68.17599487304688,0.05588911846280098,662.96484375,0.976345956325531,1.98582469912445e-15,1.5284621441777335e-13,4.0636059566168115e-06,6.435140221583424e-06
31,0.0,27.465007781982422,0.012021519243717194,468.66375732421875,0.4632076621055603,3.913969842672671e-16,-1.5102917627998237e-14,1.6370420325984014e-06,4.549135610432131e-06
32,0.0,32.49281692504883,0.0161595456302166,529.6939086914062,0.5455695986747742,2.6129272356900657e-16,4.333966047371032e-14,1.9367228105693357e-06,5.141531801200472e-06
33,0.0,32.27904510498047,0.012680375948548317,463.83447265625,0.41285231709480286,6.613633252161577e-17,1.4740506111186012e-14,1.9239810171711724e-06,4.502259798755404e-06
34,0.0,41.18677520751953,0.01853300631046295,463.3630065917969,0.5066002011299133,-4.182851981449076e-16,-3.228188929279424e-14,2.454923105688067e-06,4.497683676163433e-06
35,0.0,45.22515106201172,0.04046136140823364,488.8677062988281,0.46092846989631653,1.7373255611907723e-15,-6.249496498642385e-14,2.6956290639645886e-06,4.745247679238673e-06
36,0.0,68.28447723388672,0.04050009697675705,444.0583801269531,0.3065090477466583,-1.695692197767329e-15,1.4474568258934263e-14,4.070072009199066e-06,4.310300937504508e-06
37,0.0,36.338966369628906,0.02946295402944088,425.7606201171875,0.42596808075904846,-1.5395670849294163e-16,-1.0882092312490804e-14,2.1659711819665972e-06,4.132691628910834e-06
38,0.0,47.51132583618164,0.12686868011951447,494.5806884765625,0.5408681631088257,5.735429492448318e-16,4.529674703900033e-14,2.8318956992734456e-06,4.800701390195172e-06
39,0.0,40.94611740112305,0.017405850812792778,413.1279296875,0.3564987778663635,4.7704895589362195e-17,-6.668315666357241e-14,2.44057878262538e-06,4.010071279481053e-06
40,0.0,119.28392028808594,0.061266668140888214,480.825439453125,0.5397147536277771,1.7737547541862853e-16,-6.306554162628739e-15,7.109875696187373e-06,4.66718438474345e-06
41,0.0,56.82394027709961,0.07288811355829239,403.1410827636719,0.423552930355072,-5.535936292710986e-16,5.528020769818894e-15,3.386970774954534e-06,3.913132786692586e-06
42,0.0,79.38057708740234,0.037243667989969254,424.88232421875,0.34571659564971924,-1.1362438767648086e-15,2.4621314847496877e-14,4.731451099360129e-06,4.1241664803237654e-06
43,0.0,48.55063247680664,0.02010243386030197,494.15814208984375,0.5602817535400391,9.849976737030808e-16,-3.991809798833089e-14,2.8938432024006033e-06,4.796599569090176e-06
44,0.0,52.26518630981445,0.0243205763399601,498.3069152832031,0.7174562811851501,-2.8492833092919057e-16,1.0634425469131098e-13,3.1152478641160997e-06,4.836870175495278e-06
45,0.0,67.54204559326172,0.04388570040464401,575.75732421875,2.5207979679107666,-7.155734338404329e-17,2.0190956111915126e-12,4.0258196349896025e-06,5.588651220023166e-06
46,0.0,60.8268928527832,0.0250102486461401,410.28717041015625,0.5069815516471863,-3.441257695468991e-16,5.6640445202690414e-15,3.6255653412808897e-06,3.982497219112702e-06
47,0.0,66.02933502197266,0.026743436232209206,451.92779541015625,0.39122888445854187,-2.0773313624822265e-16,-7.419849375753587e-15,3.93565505873994e-06,4.38668621427496e-06
48,0.0,66.72550964355469,0.02867787331342697,387.23260498046875,0.4666026830673218,-6.2753621743461e-16,9.713391615494868e-16,3.977150299760979e-06,3.7587153656204464e-06
49,0.0,169.98739624023438,0.10464160889387131,506.1466979980469,1.0334678888320923,-2.2724877535296173e-15,-1.517806300294685e-14,1.0132038369192742e-05,4.91296805193997e-06
50,0.0,84.5814208984375,0.03164375573396683,430.8349609375,0.9335629343986511,8.847089727481716e-17,-9.09270556526294e-15,5.041445547249168e-06,4.181946223980049e-06
51,0.0,72.40386962890625,0.029357537627220154,412.17193603515625,0.4844111204147339,3.456436525883788e-16,8.448324403606284e-15,4.315606929594651e-06,4.000791705038864e-06
52,0.0,106.59757232666016,0.07323839515447617,514.9239501953125,0.7063927054405212,5.204170427930421e-16,7.977065595533503e-14,6.3537104324495886e-06,4.9981654228759e-06
53,0.0,60.761680603027344,0.024959271773695946,494.0711975097656,0.761013925075531,-6.258014939586332e-16,-3.034171628139501e-14,3.6216783882991876e-06,4.795756012754282e-06
54,0.0,90.64078521728516,0.03948824107646942,454.090576171875,0.516963541507721,-1.7780915628762273e-17,-1.116914754315055e-14,5.4026118050387595e-06,4.407679625728633e-06
55,0.0,79.27019500732422,0.03387505188584328,406.8038330078125,0.37154847383499146,1.0627349694702914e-15,-5.008836159964107e-14,4.7248718146875035e-06,3.948685844079591e-06
56,0.0,69.35893249511719,0.027495261281728745,431.128662109375,0.5374789834022522,1.3617579286417936e-16,-1.412907114304576e-14,4.134114533371758e-06,4.184797489870107e-06
57,0.0,76.8236312866211,0.03123069368302822,384.84466552734375,0.3945128321647644,-1.4909948276020657e-15,-2.122249180861943e-14,4.579045253194636e-06,3.735536665772088e-06
58,0.0,123.1285629272461,0.062042757868766785,536.0427856445312,1.0340768098831177,-1.846613140177311e-15,-2.5086591739489558e-14,7.339034254982835e-06,5.203157797950553e-06
59,0.0,78.98480987548828,0.03202804923057556,380.3844299316406,0.47464823722839355,-9.58434720477186e-16,2.6549373593684478e-14,4.7078615352802444e-06,3.692242898978293e-06
60,0.0,157.52508544921875,0.06589578837156296,619.9381103515625,1.0212135314941406,1.833602714107485e-15,-4.425213518646949e-15,9.389226761413738e-06,6.017496616550488e-06
61,0.0,68.13134765625,0.027306539937853813,402.97686767578125,0.45105576515197754,-6.461844948013606e-17,-3.718187917793733e-15,4.060944775119424e-06,3.911538897227729e-06
62,0.0,84.03711700439453,0.03327464684844017,464.1237487792969,0.5620124936103821,5.30825383648903e-16,3.226024251879421e-14,5.009002506994875e-06,4.5050678636471275e-06
63,0.0,77.99285888671875,0.03151058405637741,454.70697021484375,0.46193957328796387,-2.3841605772956243e-16,2.128916304244724e-15,4.648736648960039e-06,4.4136627366242465e-06
64,0.0,86.54867553710938,0.03611583262681961,381.4339294433594,0.38884061574935913,-1.3335686721571705e-15,-2.506900521792219e-15,5.158703061169945e-06,3.702429921759176e-06
65,0.0,82.7553939819336,0.033113569021224976,397.5565490722656,0.36632034182548523,1.4682265819798701e-15,1.67874628721797e-14,4.932605861540651e-06,3.8589259929722175e-06
66,0.0,100.89756774902344,0.040673334151506424,405.254638671875,0.360598623752594,-2.8189256484623115e-16,-9.272523206075092e-14,6.0139636843814515e-06,3.933648258680478e-06
67,0.0,94.33909606933594,0.03920654207468033,359.2991638183594,0.41007423400878906,5.152128723651117e-16,3.1085539534575794e-15,5.6230483096442185e-06,3.48757635038055e-06
68,0.0,69.41400909423828,0.030059413984417915,465.7819519042969,0.5632888674736023,-4.939625097843958e-16,-5.275575644197138e-14,4.137397354497807e-06,4.521163191384403e-06
69,0.0,97.7904052734375,0.04152831435203552,418.82098388671875,0.5753673911094666,-4.930951480464074e-16,1.0886894989301735e-14,5.828762368764728e-06,4.065331268066075e-06
70,0.0,81.00463104248047,0.03369667008519173,485.58868408203125,0.5781378149986267,1.7162920390445535e-15,-7.815136782347593e-15,4.828252258448629e-06,4.713419457402779e-06
71,0.0,66.32357025146484,0.06949786096811295,612.4422607421875,1.1800727844238281,2.310217989132113e-15,-4.5467305593259455e-14,3.953192845074227e-06,5.944737495156005e-06
72,0.0,100.08375549316406,0.0422266349196434,534.2149658203125,0.6458460092544556,-8.586881206085195e-16,-3.413808745780268e-14,5.965456693957094e-06,5.185415830055717e-06
