step,loss,embedding_grad_l2_norm,output_proj_grad_l2_norm,embedding_grad_l2_norm_effective,output_proj_grad_l2_norm_effective,embedding_grad_l1_norm,output_proj_grad_l1_norm,embedding_grad_mean,output_proj_grad_mean,embedding_grad_abs_mean,output_proj_grad_abs_mean
1,0.0,0.11008024215698242,0.2805805504322052,0.11008024215698242,0.2805805504322052,389.4493408203125,237.906005859375,-2.949029909160572e-17,3.573653959559886e-13,5.803247404401191e-06,2.309260480615194e-06
2,0.0,0.14672474563121796,0.8388471007347107,0.14672474563121796,0.8388471007347107,511.65863037109375,264.6385498046875,-8.153200337090993e-16,1.291701798690828e-13,7.624307727382984e-06,2.5687429570098175e-06
3,0.0,0.10469911992549896,0.651809573173523,0.10469911992549896,0.651809573173523,366.07110595703125,282.6166687011719,-6.505213034913027e-16,1.6649037359807613e-14,5.454884558275808e-06,2.7432495244283928e-06
4,0.0,0.07850123196840286,0.41551151871681213,0.07850123196840286,0.41551151871681213,213.66796875,299.44171142578125,-8.057790545912269e-16,2.917365107086775e-14,3.1839008443057537e-06,2.906563622673275e-06
5,0.0,0.050732001662254333,0.3531878590583801,0.050732001662254333,0.3531878590583801,168.11082458496094,301.73077392578125,-1.97758476261356e-16,1.6406157861962494e-15,2.5050464955711504e-06,2.9287825782375876e-06
6,0.0,0.06720372289419174,1.1163437366485596,0.06720372289419174,1.1163437366485596,226.35540771484375,321.38702392578125,2.0296264668928643e-16,-3.577690308722778e-14,3.372958417457994e-06,3.119578195764916e-06
7,0.0,0.02672220766544342,0.40048375725746155,0.02672220766544342,0.40048375725746155,83.06278991699219,314.41156005859375,7.697835424647081e-17,-2.7488472246041742e-14,1.2377320217638044e-06,3.0518699531967286e-06
8,0.0,0.04719650372862816,0.45157599449157715,0.04719650372862816,0.45157599449157715,131.33192443847656,305.65191650390625,-5.197665214895508e-16,1.3646138061025798e-15,1.9569981759559596e-06,2.966843567264732e-06
9,0.0,0.038081295788288116,0.44059470295906067,0.038081295788288116,0.44059470295906067,95.87850952148438,303.0308532714844,-1.3183898417423734e-16,-8.526039845923455e-14,1.428701125405496e-06,2.9414020445983624e-06
10,0.0,0.029533661901950836,0.23206715285778046,0.029533661901950836,0.23206715285778046,74.30303192138672,289.191162109375,2.681503023099774e-16,1.0418030912777432e-13,1.1072014558521914e-06,2.807065584420343e-06
11,0.0,0.027560928836464882,0.3996984362602234,0.027560928836464882,0.3996984362602234,74.13826751708984,297.2435302734375,-1.4040418133687282e-16,-1.1027774017308839e-13,1.1047462749047554e-06,2.8852266495960066e-06
12,0.0,0.03222203254699707,0.5331735014915466,0.03222203254699707,0.5331735014915466,81.3813247680664,296.322021484375,1.693523793422358e-16,-4.324470469219133e-14,1.2126762385378242e-06,2.8762819965777453e-06
13,0.0,0.016471946612000465,0.39937537908554077,0.016471946612000465,0.39937537908554077,49.85378646850586,285.9681701660156,4.336808689942018e-18,-2.4734702065948126e-14,7.428793082908669e-07,2.7757812404161086e-06
14,0.0,0.02262873947620392,0.2568281888961792,0.02262873947620392,0.2568281888961792,49.75446319580078,279.23236083984375,-1.161722627818218e-16,1.2424963672947459e-14,7.41399276193988e-07,2.710399257921381e-06
15,0.0,0.011706429533660412,0.23152294754981995,0.011706429533660412,0.23152294754981995,38.62782287597656,273.6766662597656,9.725293487194975e-17,3.4130972381045746e-14,5.755994152423227e-07,2.6564723611954832e-06
16,0.0,0.013497755862772465,0.24133631587028503,0.013497755862772465,0.24133631587028503,41.201271057128906,270.6802978515625,-1.1232334506949826e-16,-3.007422666478389e-14,6.139467814136879e-07,2.6273878575011622e-06
17,0.0,0.01022520661354065,0.23755240440368652,0.01022520661354065,0.23755240440368652,32.502864837646484,267.42657470703125,9.75781955236954e-18,8.957917551179542e-14,4.843304282076133e-07,2.5958051992347464e-06
18,0.0,0.020046258345246315,0.23396305739879608,0.020046258345246315,0.23396305739879608,46.34239196777344,263.4250183105469,1.9548165169913645e-16,-1.334139233550441e-14,6.905554528202629e-07,2.5569636363798054e-06
19,0.0,0.017309697344899178,0.17249713838100433,0.017309697344899178,0.17249713838100433,47.702537536621094,253.79022216796875,-6.23416249179165e-17,1.1850005839867533e-13,7.108232011887594e-07,2.463442342559574e-06
20,0.0,0.011926091276109219,0.23912817239761353,0.011926091276109219,0.23912817239761353,37.390647888183594,257.5377197265625,-8.296857124945323e-17,6.18121276819289e-15,5.571640713242232e-07,2.499817810530658e-06
21,0.0,0.008457429707050323,0.18419605493545532,0.008457429707050323,0.18419605493545532,30.59025001525879,253.73313903808594,1.428436362249652e-17,1.0494132587923494e-14,4.5583024643747194e-07,2.462888232912519e-06
22,0.0,0.018278134986758232,0.17347905039787292,0.018278134986758232,0.17347905039787292,46.09349822998047,253.57815551757812,7.621941272573096e-17,3.7548208222130605e-14,6.868466471132706e-07,2.4613839286757866e-06
23,0.0,0.017407655715942383,0.17039352655410767,0.017407655715942383,0.17039352655410767,39.61809539794922,244.90130615234375,-1.6162743886327657e-16,1.9039774639718898e-13,5.903556257180753e-07,2.3771610813128063e-06
24,0.0,0.015201113186776638,0.22831736505031586,0.015201113186776638,0.22831736505031586,44.782413482666016,255.01016235351562,6.288372600415926e-17,8.831495512109586e-14,6.673099619547429e-07,2.4752839635766577e-06
25,0.0,0.010541430674493313,0.1368989646434784,0.010541430674493313,0.1368989646434784,38.818538665771484,241.1685333251953,-4.754226526348937e-17,-1.2616568454847012e-14,5.784413019682688e-07,2.3409286313835764e-06
26,0.0,0.03073224239051342,0.19049705564975739,0.03073224239051342,0.19049705564975739,66.9620361328125,254.3631134033203,-1.6447346956605102e-16,4.430630395988594e-13,9.978120942832902e-07,2.4690032205398893e-06
27,0.0,0.011860042810440063,0.14805230498313904,0.011860042810440063,0.14805230498313904,37.51044464111328,239.9951171875,-7.906544342850541e-17,-1.8786357289680283e-14,5.58949182050128e-07,2.3295388018595986e-06
28,0.0,0.007312307134270668,0.12690623104572296,0.007312307134270668,0.12690623104572296,32.862762451171875,229.85958862304688,-2.6969529040576923e-17,-9.981943411421844e-16,4.896933205600362e-07,2.231157168353093e-06
29,0.0,0.011367283761501312,0.13784268498420715,0.011367283761501312,0.13784268498420715,42.27366256713867,238.5482177734375,7.131339789523405e-17,-8.26116823874571e-15,6.299266601672571e-07,2.3154941573011456e-06
30,0.0,0.011517628096044064,0.12259417027235031,0.011517628096044064,0.12259417027235031,40.100364685058594,224.46372985839844,-6.545870616381233e-17,-1.842354089111927e-14,5.975419981041341e-07,2.1787816422147444e-06
31,0.0,0.009294959716498852,0.14993081986904144,0.009294959716498852,0.14993081986904144,39.229244232177734,227.05471801757812,7.074419175467916e-17,-7.887456455384165e-15,5.845612918164989e-07,2.2039314444555202e-06
